country,Y2020M07,Y2020M08,Y2020M09,Y2020M10,Y2020M11,Y2020M12,Y2020M01,Y2020M02,Y2020M03,Y2020M04
GREECE,"8,147,055","1,574,631","1,098,827","685,661","812,508","1,246,653","5,455,198","12,906,401","19,549,747",
SPAIN,"32,217,680","20,237,815","18,790,741","15,322,382","18,966,174","23,614,135","34,518,792","39,545,038","48,669,403","64,247,832"
