country,Y2020M03,Y2020M04,Y2020M05,Y2020M06,Y2020M07,Y2020M08,Y2020M09,Y2020M10,Y2020M11,Y2020M12
GREECE,"279,518","1,180,633","4,647,004","7,026,570","8,427,125","9,110,875","6,785,157","2,777,530","185,905","125,309"
SPAIN,"12,221,965","14,072,498","17,538,970","21,783,448","28,333,704","30,794,251","22,882,890","17,779,783","9,952,508","8,744,645"
