country,Y2020M07,Y2020M08,Y2020M09,Y2020M10,Y2020M11,Y2020M12,Y2020M01,Y2020M02,Y2020M03,Y2020M04
GREECE,"2,031,275","645,128","524,613","326,112","402,148","576,253","1,779,844","3,337,304","4,624,955",
SPAIN,"10,284,200","6,534,589","6,100,656","4,623,449","6,286,206","7,343,848","11,234,432","12,544,744","14,499,490","16,998,950"
