country,Y2020M03,Y2020M04,Y2020M05,Y2020M06,Y2020M07,Y2020M08,Y2020M09,Y2020M10,Y2020M11,Y2020M12
GREECE,"3,204","19,959","36,022","37,958","64,938","51,781","38,693","10,992","2,203","1,350"
SPAIN,"73,635","108,014","107,140","111,236","231,614","153,586","142,061","92,485","60,833","44,558"
